,heart_failure_auc,hfref_auc,hfpef_auc,atrial_fibrillation_auc,mitral_valve_auc,aortic_valve_auc,tricuspid_valve_auc,cad_auc,myocardial_infarction_auc,pulmonary_htn_auc,stroke_auc,copd_auc,asthma_auc,ild_auc,lung_cancer_auc,tuberculosis_auc,t2dm_auc,obesity_auc,dyslipidemia_auc,osteoporosis_auc,spinal_stenosis_auc,hypertension_auc,ckd_auc,pvd_auc,liver_cirrhosis_auc,anemia_auc
mean,0.6612,0.6956,0.6711,0.6362,0.6876,0.7194,0.7739,0.5675,0.7285,0.5491,0.6189,0.6338,0.5288,0.6748,0.7635,0.6323,0.5112,0.4633,0.5337,0.6233,0.7819,0.5248,0.5885,0.5249,0.6409,0.5928
lower,0.6447,0.6777,0.6471,0.6188,0.6557,0.6768,0.75,0.5499,0.7089,0.5228,0.5749,0.6091,0.4868,0.6362,0.7351,0.5214,0.4888,0.4353,0.5133,0.5902,0.7177,0.5074,0.5682,0.4844,0.5727,0.5665
upper,0.6778,0.7149,0.6933,0.6538,0.7198,0.7584,0.798,0.5854,0.7479,0.5753,0.6638,0.6594,0.5665,0.7114,0.7902,0.746,0.533,0.4927,0.5532,0.6578,0.8403,0.5419,0.6084,0.5616,0.7039,0.6164
